Data,Autor,Texto,Likes,Respostas,Conteúdo_Comentários
2026-03-12T15:37:10.567Z,us2pt.bsky.social,"The old tile work in school at Covilhã, Portugal",0,0,
2026-03-08T17:53:01.818Z,pseudonarcissus.bsky.social,Covilhã,0,0,
2026-03-07T16:27:27.895Z,goalbot.dev,"GOAL! 64' — A. Sapara scores for 1º Dezembro. SC Covilha 0–2 1º Dezembro. Liga 3

#sccovilha #1dezembro",0,0,
2026-03-07T16:15:28.913Z,goalbot.dev,"GOAL! 50' — S. A. Andrade Male scores for 1º Dezembro. SC Covilha 0–1 1º Dezembro. Liga 3

#sccovilha #1dezembro",0,0,
2026-03-07T16:13:35.229Z,goalbot.dev,"GOAL! 50' — 1º Dezembro. SC Covilha 0–1 1º Dezembro. Liga 3

#sccovilha #1dezembro",0,0,
2026-03-06T18:20:17.534Z,anagualberto.bsky.social,"Alterações climáticas, essa coisa esquerdalha?! Nunca! O problema é viver tanta gente no litoral. Estão a ver a Covilhã? Ali é que devia ser Lisboa! Se toda a gente vivesse entre Elvas e Bragança, não andava aí a esquerdalhada a falar de crises climáticas!",3,3,"[@derblue.bsky.social: O observador de facto escolhe os seus cronistas e comentadores a dedo… (Likes: 1)] | [@sanscelerien.bsky.social: É uma chatice que as zonas com maiores riscos sísmicos, atmosféricos e geológicos sejam as mais ricas e mais procuradas.
Lá nas berças não se passa nada. Enfim, só incêndios. (Likes: 1)] | [@fatnun.bsky.social: se como deputada e ‘cronista’ é assim sempre tenho uma curiosidade pérfida eu ver o legado arquitetónico q deixa 💀 (Likes: 1)]"
2026-02-28T17:00:48.682Z,goalbot.dev,"GOAL! 90' — Atlético CP. Atlético CP 1–2 SC Covilha. Liga 3

#atleticocp #sccovilha",0,0,
2026-02-28T16:35:28.810Z,goalbot.dev,"GOAL! 61' — A. Liberal scores for SC Covilha. Atlético CP 0–2 SC Covilha. Liga 3

#atleticocp #sccovilha",0,0,
2026-02-28T16:31:18.302Z,goalbot.dev,"GOAL! 62' — SC Covilha. Atlético CP 0–2 SC Covilha. Liga 3

#atleticocp #sccovilha",0,0,
2026-02-28T15:52:30.838Z,goalbot.dev,"GOAL! 45' — C. Balsa scores for SC Covilha. Atlético CP 0–1 SC Covilha. Assist: R. Ferreira. Liga 3

#atleticocp #sccovilha",0,0,
2026-02-28T15:49:06.252Z,goalbot.dev,"GOAL! 45' — SC Covilha. Atlético CP 0–1 SC Covilha. Liga 3

#atleticocp #sccovilha",0,0,
2026-02-28T15:40:03Z,betsapi.bsky.social,#PortugalLiga3 Atletico CP Lisbon v Sporting Covilha https://score366.com/r/11343901/Atletico-CP-Lisbon-v-Sporting-Covilha #Soccer,0,0,
2026-02-28T14:34:30.176Z,vicenteolissipo.bsky.social,Imagina *não* estar no Culto do São José da Covilhã,0,0,
2026-02-27T20:33:31.063Z,movebeiras.pt,"🚂 A Move Beiras marcou presença na apresentação do projecto KMZERO a convite da Freguesia de Tortosendo no stand da Covilhã Município na Bolsa de Turismo de Lisboa.
🚵 Um projecto que combina comboio, ciclismo e natureza e que tem todo o potencial de vingar na região!",1,0,
2026-02-27T20:30:45.653Z,movebeiras.pt,"🚂 A Move Beiras marcou presença na apresentação do projecto KMZERO a convite da Freguesia de Tortosendo no stand da Covilhã Município na Bolsa de Turismo de Lisboa.
🚵 Um projecto que combina comboio, ciclismo e natureza e que tem todo o potencial de vingar na região!",0,0,
