Nome da rua;Freguesia
Escadas da Lomba;ALDEIA DE SÃO FRANCISCO DE ASSIS
Estrada Municipal 512;ALDEIA DE SÃO FRANCISCO DE ASSIS
Largo da Eira;ALDEIA DE SÃO FRANCISCO DE ASSIS
Largo da Sobreira;ALDEIA DE SÃO FRANCISCO DE ASSIS
Rua Casa da Vinha;ALDEIA DE SÃO FRANCISCO DE ASSIS
Rua Direita;ALDEIA DE SÃO FRANCISCO DE ASSIS
Rua Sargento A. Torgal;ALDEIA DE SÃO FRANCISCO DE ASSIS
Rua da Avesseira;ALDEIA DE SÃO FRANCISCO DE ASSIS
Rua da Barroquinha;ALDEIA DE SÃO FRANCISCO DE ASSIS
Rua da Eira;ALDEIA DE SÃO FRANCISCO DE ASSIS
Rua da Galiza;ALDEIA DE SÃO FRANCISCO DE ASSIS
Rua da Lomba;ALDEIA DE SÃO FRANCISCO DE ASSIS
Rua da Malhada;ALDEIA DE SÃO FRANCISCO DE ASSIS
Rua da Vinha;ALDEIA DE SÃO FRANCISCO DE ASSIS
Rua do Barroco;ALDEIA DE SÃO FRANCISCO DE ASSIS
Rua do Casal;ALDEIA DE SÃO FRANCISCO DE ASSIS
Rua do Casarão;ALDEIA DE SÃO FRANCISCO DE ASSIS
Rua do Clube Desportivo;ALDEIA DE SÃO FRANCISCO DE ASSIS
Rua do Penedo;ALDEIA DE SÃO FRANCISCO DE ASSIS
Rua do Quebra Costas;ALDEIA DE SÃO FRANCISCO DE ASSIS
Rua do Ribeiro;ALDEIA DE SÃO FRANCISCO DE ASSIS
Rua do Sodinho;ALDEIA DE SÃO FRANCISCO DE ASSIS
Rua dos Capatazes;ALDEIA DE SÃO FRANCISCO DE ASSIS
Sítio do Caratão;ALDEIA DE SÃO FRANCISCO DE ASSIS
Travessa da Galiza;ALDEIA DE SÃO FRANCISCO DE ASSIS
Travessa da Rua Direita;ALDEIA DE SÃO FRANCISCO DE ASSIS
Travessa do Loureiro;ALDEIA DE SÃO FRANCISCO DE ASSIS
Travessa do Ribeiro;ALDEIA DE SÃO FRANCISCO DE ASSIS
Travessa dos Safreiros;ALDEIA DE SÃO FRANCISCO DE ASSIS
1º Beco à Rua Cabeço de Baixo;BARCO E COUTADA
2º Beco à Rua Cabeço de Baixo;BARCO E COUTADA
Avenida São Sebastião;BARCO E COUTADA
Beco Carvalho da Iveca;BARCO E COUTADA
Beco Nº 1 da Rua do Calvário;BARCO E COUTADA
Beco Nº 1 da Rua do Torgal;BARCO E COUTADA
Beco Nº 2 da Rua do Calvário;BARCO E COUTADA
Beco Nº 2 da Rua do Torgal;BARCO E COUTADA
Beco Nº 3 da Rua do Calvário;BARCO E COUTADA
Beco Nº 3 da Rua do Torgal;BARCO E COUTADA
Beco da Corredoura;BARCO E COUTADA
Beco da Tapada do Clemente;BARCO E COUTADA
Beco das Escolas;BARCO E COUTADA
Beco de São Simão;BARCO E COUTADA
Beco do Bairro Novo;BARCO E COUTADA
Beco do Cabeço de Cima;BARCO E COUTADA
Beco do Forno;BARCO E COUTADA
Caminho da Alagoa;BARCO E COUTADA
Caminho da Quinta;BARCO E COUTADA
Caminho do Casal;BARCO E COUTADA
Caminho dos Covões;BARCO E COUTADA
Caminho dos Moleiros;BARCO E COUTADA
Estrada Barco -Silvares;BARCO E COUTADA
Estrada Municipal 513;BARCO E COUTADA
Estrada Municipal 513 Sítio do Vale Prado;BARCO E COUTADA
Estrada Nacional 343;BARCO E COUTADA
Estrada da Coutada;BARCO E COUTADA
Estrada do Monte Pirinéu;BARCO E COUTADA
Estrada do Monte dos Cabanas;BARCO E COUTADA
Largo Amoreira;BARCO E COUTADA
Largo Arrabalde;BARCO E COUTADA
Largo Cabeço Baixo;BARCO E COUTADA
Largo Capela;BARCO E COUTADA
Largo Fontinha;BARCO E COUTADA
Largo Infante Dom Henrique;BARCO E COUTADA
Largo São Sebastião;BARCO E COUTADA
Largo do Terreiro do Forno;BARCO E COUTADA
Pátio da Fontinha;BARCO E COUTADA
Quinta do Lagar;BARCO E COUTADA
Rua Alto Volta;BARCO E COUTADA
Rua Amoreira;BARCO E COUTADA
Rua Arrabalde;BARCO E COUTADA
Rua Cabeço Baixo;BARCO E COUTADA
Rua Cabeço de Cima;BARCO E COUTADA
Rua Calvário;BARCO E COUTADA
Rua Capela;BARCO E COUTADA
Rua Casão;BARCO E COUTADA
Rua Corredoura;BARCO E COUTADA
Rua Courela;BARCO E COUTADA
Rua Courela da Poça;BARCO E COUTADA
Rua Direita;BARCO E COUTADA
Rua Eira;BARCO E COUTADA
Rua Escadinhas;BARCO E COUTADA
Rua Escola Velha;BARCO E COUTADA
Rua Escolas;BARCO E COUTADA
Rua Fonte Romana;BARCO E COUTADA
Rua Fontinha;BARCO E COUTADA
Rua Forno;BARCO E COUTADA
Rua Fundo Povo;BARCO E COUTADA
Rua Furriel António Reis Morais;BARCO E COUTADA
Rua Igreja Nova;BARCO E COUTADA
Rua Igreja Velha;BARCO E COUTADA
Rua Independência;BARCO E COUTADA
Rua Lameirinha;BARCO E COUTADA
Rua Laranjeira;BARCO E COUTADA
Rua Lomba;BARCO E COUTADA
Rua Mina;BARCO E COUTADA
Rua Nossa Senhora do Carmo;BARCO E COUTADA
Rua Panquinha;BARCO E COUTADA
Rua Poça do Barro;BARCO E COUTADA
Rua Principal;BARCO E COUTADA
Rua Ribeirinho;BARCO E COUTADA
Rua Sobreirais;BARCO E COUTADA
Rua São Sebastião;BARCO E COUTADA
Rua São Simão;BARCO E COUTADA
Rua Terreiro;BARCO E COUTADA
Rua Torgal;BARCO E COUTADA
Rua Vale;BARCO E COUTADA
Rua Vale Prado;BARCO E COUTADA
Rua Valeira;BARCO E COUTADA
Rua Vinha da Valsa;BARCO E COUTADA
Rua da Cruz das Almas;BARCO E COUTADA
Rua da Fonte;BARCO E COUTADA
Rua da Fonte Velha;BARCO E COUTADA
Rua da Fraga;BARCO E COUTADA
Rua da Lameirinha;BARCO E COUTADA
Rua da Pedreira;BARCO E COUTADA
Rua das Cavadas;BARCO E COUTADA
Rua das Fontainhas;BARCO E COUTADA
Rua das Minas da Recheira;BARCO E COUTADA
Rua das Sobreiras da Rainha;BARCO E COUTADA
Rua das Tapadas;BARCO E COUTADA
Rua de Coutada;BARCO E COUTADA
Rua de São Sebastião;BARCO E COUTADA
Rua do Carvalho da Iveca;BARCO E COUTADA
Rua do Casal;BARCO E COUTADA
Rua do Cimo do Povo;BARCO E COUTADA
Rua do Curral;BARCO E COUTADA
Rua do Espelho;BARCO E COUTADA
Rua do Saco;BARCO E COUTADA
Rua do Sol;BARCO E COUTADA
Rua do Valinho;BARCO E COUTADA
Rua dos Aguilhões;BARCO E COUTADA
Sítio da Corredoura;BARCO E COUTADA
Sítio das Fontainhas;BARCO E COUTADA
Travessa Arrabalde;BARCO E COUTADA
Travessa Escolas;BARCO E COUTADA
Travessa Forno;BARCO E COUTADA
Travessa Jogo da Bola;BARCO E COUTADA
Travessa Mina;BARCO E COUTADA
Travessa Nº 1 da Estrada Nacional 343;BARCO E COUTADA
Travessa Terreiro do Forno;BARCO E COUTADA
Travessa Vale Prado;BARCO E COUTADA
Travessa da Alagoa;BARCO E COUTADA
Travessa da Capela;BARCO E COUTADA
Travessa da Corredoura;BARCO E COUTADA
Travessa da Eira;BARCO E COUTADA
Travessa da Fonte;BARCO E COUTADA
Travessa da Fontinha;BARCO E COUTADA
Travessa da Fraga;BARCO E COUTADA
Travessa da Iveca;BARCO E COUTADA
Travessa da Pedreira;BARCO E COUTADA
Travessa da Quelha;BARCO E COUTADA
Travessa da Rua da Fonte Velha;BARCO E COUTADA
Travessa da Tapada;BARCO E COUTADA
Travessa do Beco do Torgal;BARCO E COUTADA
Travessa do Valinho;BARCO E COUTADA
1ª Transversal Bairro Caldeirões;BOIDOBRA
1ª Transversal À Rua Bairro Novo;BOIDOBRA
1ª Transversal À Rua Nossa Senhora do Refúgio;BOIDOBRA
1ª Travessa da Rua Ribeiro Negro;BOIDOBRA
1ª Travessa do Bairro dos Freixos;BOIDOBRA
2ª Transversal Bairro Caldeirões;BOIDOBRA
2ª Travessa Bairro dos Freixos;BOIDOBRA
2ª Travessa da Rua Ribeiro Negro;BOIDOBRA
3ª Travessa Bairro dos Freixos;BOIDOBRA
A salto;BOIDOBRA
Alameda Pêro da Covilhã;BOIDOBRA
